index,sex,years,children,smoke,countryFrom,countryNow,abroad,countryAbroad,degree,bachelorArea,bachelorEnjoy,bachelorWork,bachelorWorkEnjoy,hobbyOften,hobbyEnjoy,hobbyTime,hOutdoors,hSports,hStayHome,hVideogames,hJustMe,hWithFriends,hMall,hPet,hStudy,hParty,hNetflix,hFamily
68,Fem,45,Yes,No,Mexico,Mexico,No,,3,Medicine and Health,4,Yes,9,1 month,10,Need more,0,0,1,0,1,1,1,0,0,0,0,0
69,Male,51,Yes,No,Mexico,Mexico,No,,3,Business and Management,10,No,,2 week,10,Enough,0,1,1,0,0,1,0,0,0,0,0,0
70,Fem,53,Yes,No,Mexico,Mexico,No,,3,Business and Management,10,No,,1 month,10,Need more,0,1,1,0,0,1,1,0,0,0,0,0
71,Fem,43,Yes,No,Mexico,Mexico,No,,1,,,,,3 week,10,Enough,0,1,1,0,1,1,1,0,0,1,0,0
72,Male,39,Yes,Yes,Mexico,Mexico,No,,3,Business and Management,10,Yes,10,3 week,10,Enough,0,1,1,0,0,1,0,0,0,0,0,0
73,Fem,49,Yes,No,Mexico,Mexico,No,,3,Medicine and Health,8,No,,2 month,8,Enough,1,1,1,0,1,1,1,0,0,0,0,0
74,Fem,22,No,No,Mexico,Mexico,No,,2,,,,,2 week,9,Need more,0,0,1,0,1,0,0,0,0,0,0,0
75,Fem,40,Yes,Yes,Mexico,Mexico,No,,3,Medicine and Health,5,No,,2 week,9,Enough,0,0,1,0,1,0,0,0,0,1,0,0
76,Fem,36,Yes,Yes,Mexico,Mexico,No,,3,Medicine and Health,8,No but have,,2 week,10,Enough,0,0,1,0,0,1,0,0,0,1,0,0
77,Male,28,No,No,Mexico,Mexico,No,,3,Computer Science and IT,9,Yes,8,2 week,10,Need more,1,0,1,1,0,0,0,0,0,0,0,0
78,Fem,37,Yes,Yes,Mexico,Mexico,No,,3,Business and Management,5,No,,3 week,7,Enough,0,0,1,0,0,1,0,1,0,0,0,0
79,Male,22,No,No,Mexico,Mexico,Yes,Spain,3,Engineering and Technology,10,Yes,10,3 week,10,Enough,0,1,0,0,0,1,0,0,1,0,0,0
80,Male,39,Yes,No,Mexico,Mexico,No,,3,Engineering and Technology,10,No,,3 week,10,Enough,0,1,0,0,0,1,0,1,0,0,0,0
81,Male,28,No,Yes,Mexico,Mexico,No,,3,Engineering and Technology,9,Yes,7,2 week,8,Need more,0,0,1,1,0,0,0,0,0,0,0,0
82,Fem,46,Yes,Yes,Mexico,Mexico,No,,3,Medicine and Health,10,Yes,10,2 week,10,Enough,1,0,1,0,0,0,0,0,0,0,0,1
83,Male,36,Yes,No,Mexico,Mexico,No,,3,Engineering and Technology,8,No,1,1 month,10,Need more,0,1,1,0,0,0,0,1,0,0,0,0
84,Fem,45,Yes,No,Mexico,Mexico,No,,1,,,,,3 week,10,Enough,0,0,1,0,0,0,1,0,0,1,0,0
85,Fem,51,Yes,No,Mexico,USA,No,,1,,,,,Diario,10,Enough,0,0,1,1,0,0,0,0,0,0,0,0
86,Fem,35,No,No,Mexico,Mexico,Yes,USA,4,Engineering and Technology,8,No,8,3 week,9,Enough,0,1,1,0,0,1,1,1,0,0,0,0
87,Fem,55,Yes,No,Mexico,Mexico,No,,3,Social Sciences,10,Yes,10,2 month,10,Need more,1,0,0,0,0,1,0,1,0,0,0,0
88,Fem,41,Yes,Yes,Mexico,Mexico,No,,2,,,,,2 month,1,Enough,0,0,1,0,0,1,1,0,0,0,0,0
89,Fem,46,Yes,No,Mexico,Mexico,No,,3,Medicine and Health,10,No but else,9,2 week,9,Enough,0,0,1,0,0,1,0,1,0,0,0,0
90,Fem,54,Yes,Yes,Mexico,Mexico,No,,1,,,,,2 week,10,Enough,0,1,1,0,0,0,1,0,0,0,0,0
91,Fem,41,Yes,No,Mexico,Mexico,No,,1,,,,,3 week,8,Enough,0,0,1,0,0,1,0,0,0,1,0,0
92,Fem,26,Yes,Yes,Mexico,Mexico,No,,3,Arts Design and Architecture,8,No,1,3 week,7,Enough,0,0,1,1,0,0,0,0,0,0,0,0
93,Fem,54,Yes,No,Mexico,Mexico,No,,3,Education and Training,8,Yes,10,1 month,9,Need more,1,0,0,0,0,1,0,0,0,1,0,0
94,Fem,27,Yes,No,Mexico,Mexico,No,,2,,,,,1 month,9,Need more,0,0,1,1,0,1,1,0,0,1,0,0
95,Fem,26,No,No,Germany,Germany,Yes,Argentina,4,Natural Sciences and Mathematics,7,Yes,10,2 month,10,Enough,1,0,0,0,0,1,0,1,0,0,0,0
96,Fem,31,Yes,Not now,Mexico,Mexico,No,,2,,,,,2 week,8,Need more,1,0,1,0,0,0,1,1,0,1,0,0
97,Fem,41,Yes,Yes,Mexico,Mexico,No,,2,,,,,1 month,10,Need more,0,0,1,1,0,1,0,0,0,0,0,0
98,Fem,33,Yes,Yes,Mexico,Mexico,No,,3,Business and Management,8,Yes,8,2 week,8,Enough,0,0,1,0,0,1,0,1,0,1,0,0
99,Fem,33,Yes,No,Mexico,Mexico,No,,2,,,,,2 week,8,Need more,1,0,1,0,0,1,0,0,0,0,0,0
100,Fem,43,Yes,No,Mexico,Mexico,No,,2,,,,,3 week,10,Need more,1,0,1,0,0,0,1,0,0,0,0,0
101,Fem,65,Yes,No,Mexico,Mexico,No,,2,,,,,1 month,10,Enough,1,0,1,0,0,0,1,0,0,0,0,0
102,Male,22,No,No,Mexico,Mexico,Yes,Spain,3,Engineering and Technology,10,Yes,10,3 week,10,Enough,0,1,0,0,0,1,0,0,1,0,0,0
103,Male,34,Yes,Not now,Mexico,Mexico,No,,1,,,,,3 week,9,Enough,0,1,0,0,0,1,0,0,0,1,0,0
104,Fem,23,Yes,Yes,Mexico,Mexico,No,,3,Business and Management,10,Yes,10,3 week,10,Enough,0,0,0,0,1,0,0,0,0,1,0,0
105,Fem,24,No,No,Spain,Spain,Yes,France,3,Engineering and Technology,6,Yes,8,2 week,8,Need more,1,1,1,0,1,1,0,0,0,1,0,0
106,Male,40,No,No,Mexico,Mexico,No,,5,Natural Sciences and Mathematics,9,Yes,9,2 week,8,Enough,1,0,1,0,0,1,0,0,0,0,0,0
107,Fem,48,No,Not now,Mexico,Mexico,Yes,UK,3,Journalism and Media,9,No but have,,3 week,10,Enough,1,1,1,1,1,1,0,0,1,1,0,0
108,Male,44,Yes,No,Mexico,Mexico,No,,4,Engineering and Technology,8,No,,3 week,10,Enough,0,1,1,0,1,0,0,0,0,0,0,0
109,Male,22,No,No,Mexico,Mexico,Yes,Sweden,3,Computer Science and IT,5,Yes,4,3 week,6,Need more,1,0,1,1,1,1,1,0,1,0,0,0
110,Fem,23,No,No,Mexico,Mexico,No,,3,Engineering and Technology,7,No but else,,3 week,10,Enough,0,0,1,1,0,1,0,0,0,0,0,0
111,Male,21,No,Not now,Mexico,Mexico,No,,3,Computer Science and IT,9,Yes,8,3 week,8,Need more,0,0,1,1,1,0,0,0,0,0,0,0
112,Fem,22,No,No,Mexico,Mexico,No,,3,Arts Design and Architecture,7,No but have,5,2 week,10,Need more,0,0,1,0,0,1,0,1,0,0,0,0
113,Fem,22,No,No,Mexico,Mexico,Yes,Germany,3,Engineering and Technology,10,No but have,7,3 week,9,Need more,0,1,0,0,0,1,0,0,1,0,0,0
114,Fem,22,No,Yes,Mexico,Mexico,No,,2,,,,,3 week,9,Enough,0,0,1,0,1,1,0,0,0,0,0,0
115,Fem,22,No,No,Mexico,Mexico,No,,3,Medicine and Health,8,No,,3 week,5,Need more,1,0,1,0,1,0,0,0,0,0,0,0
116,Fem,54,Yes,Yes,Mexico,Mexico,No,,1,,,,,2 week,10,Need more,0,1,1,0,0,0,1,0,0,0,0,0
